Workload, Duration (s), #Tasks/CPU, #CPUs, Period (ms), KVS Type, Node ID, Successful Reads (%), Successful Writes (%), Successful Read Iterations (%), Successful Write Iterations (%), App BCET (ms), App ACET (ms), App WCET (ms), KVS BCET (ms), KVS ACET (ms), KVS WCET (ms), Stable control?
IvP1, 100, 1, 1, 800, BFTKVS2, 4, 100, 100, 100, 100, 0.034682, 0.0771977, 0.12292, 3.72327, 208.822, 401.387, failure
IvP1, 100, 1, 1, 400, BFTKVS2, 4, 100, 100, 100, 100, 0.018209, 0.0730176, 0.102483, 3.77273, 115.872, 201.451, failure
IvP1, 100, 1, 1, 200, BFTKVS2, 4, 100, 100, 100, 100, 0.017266, 0.0727156, 0.153285, 4.01201, 51.3698, 54.0831, failure
IvP1, 100, 1, 1, 100, BFTKVS2, 4, 99.8, 100, 99.8, 100, 0.017593, 0.0750585, 0.138427, 3.94086, 26.869, 50.7761, failure
IvP1, 100, 1, 1, 50, BFTKVS2, 4, 100, 100, 100, 100, 0.017026, 0.0757563, 0.128327, 3.86275, 14.8434, 25.904, success
IvP1, 100, 4, 1, 800, BFTKVS2, 4, 100, 100, 100, 100, 0.019691, 0.0758408, 0.123823, 5.77302, 201.291, 204.754, failure
IvP1, 100, 4, 1, 400, BFTKVS2, 4, 100, 100, 100, 100, 0.015508, 0.0717599, 0.128475, 4.91088, 101.978, 104.546, failure
IvP1, 100, 4, 1, 200, BFTKVS2, 4, 100, 100, 100, 100, 0.015369, 0.0755627, 0.132606, 6.32089, 53.2834, 99.7085, failure
IvP1, 100, 4, 1, 100, BFTKVS2, 4, 100, 100, 100, 100, 0.016076, 0.0759336, 0.125711, 4.29699, 27.416, 31.0156, failure
IvP1, 100, 4, 1, 50, BFTKVS2, 4, 100, 100, 100, 100, 0.016326, 0.0803753, 0.149104, 1.25042, 14.9454, 18.0942, success
IvP1, 100, 1, 3, 800, BFTKVS2, 4, 100, 100, 100, 100, 0.021931, 0.0766724, 0.118199, 2.59924, 154.608, 401.357, failure
IvP1, 100, 1, 3, 400, BFTKVS2, 4, 100, 100, 100, 100, 0.017054, 0.0701519, 0.114879, 3.35632, 76.8195, 201.473, failure
IvP1, 100, 1, 3, 200, BFTKVS2, 4, 100, 100, 100, 100, 0.015489, 0.0705795, 0.129188, 4.13632, 35.6305, 53.7008, failure
IvP1, 100, 1, 3, 100, BFTKVS2, 4, 99.8667, 100, 99.8667, 100, 0.016741, 0.0760932, 0.135477, 1.24987, 19.0967, 50.9315, failure
IvP1, 100, 1, 3, 50, BFTKVS2, 4, 100, 100, 100, 100, 0.016546, 0.0762533, 0.13444, 0.978049, 10.5206, 26.2567, success
IvP1, 100, 4, 3, 800, BFTKVS2, 4, 100, 100, 100, 100, 0.01534, 0.0715477, 0.138635, 2.53775, 134.689, 204.706, failure
IvP1, 100, 4, 3, 400, BFTKVS2, 4, 100, 100, 100, 100, 0.016134, 0.0689191, 0.133488, 3.68356, 69.2059, 104.697, failure
IvP1, 100, 4, 3, 200, BFTKVS2, 4, 100, 100, 100, 100, 0.015096, 0.069359, 0.148606, 3.64897, 36.0236, 100.9, failure
IvP1, 100, 4, 3, 100, BFTKVS2, 4, 100, 100, 100, 100, 0.01449, 0.0770095, 0.142092, 1.38735, 19.409, 33.2029, failure
IvP1, 100, 4, 3, 50, BFTKVS2, 4, 100, 100, 100, 100, 0.013978, 0.077283, 0.135448, 1.12476, 10.6769, 17.0015, success
IvP1, 100, 1, 1, 800, RedisKVS2, 4, 100, 100, 100, 100, 7.04919, 28.6274, 62.8953, 0.000397, 16.5042, 48.1456, failure
IvP1, 100, 1, 1, 200, RedisKVS2, 4, 100, 100, 100, 100, 4.77461, 53.3746, 56.7618, 4.69529, 47.8972, 56.091, failure
IvP1, 100, 1, 1, 100, RedisKVS2, 4, 100, 100, 100, 100, 6.24041, 43.7699, 61.3212, 0.000388, 29.5572, 48.8038, failure
IvP1, 100, 1, 1, 50, RedisKVS2, 4, 97.9684, 98.1921, 97.55, 97.55, 5.33377, 23.9086, 50.3677, 0.000401, 12.3534, 40.7241, success
IvP1, 100, 4, 1, 800, RedisKVS2, 4, 96.5263, 100, 35, 100, 14.5657, 75.0448, 116.302, 0.000533, 53.3481, 91.1269, failure
